asset_id,business_type,industry,postcode,latitude,longitude,asset_value,annual_revenue,coverage_limit
VIC0001,materials_yard,construction,3931,-38.228342,145.055429,2253588.31,3394490.96,494023.04
VIC0002,parts_supplier,automotive,3011,-37.79808,144.906663,252849.67,369288.75,46088.67
VIC0003,gym,recreation,3995,-38.609089,145.596801,1537595.66,661131.68,248837.36
VIC0004,warehouse,logistics,3280,-38.375875,142.467248,469451.89,386311.26,68988.28
VIC0005,dairy_processor,food_and_beverage,3630,-36.414552,145.409718,849437.99,420190.24,143720.99
VIC0006,legal_practice,professional_services,3056,-37.759691,144.947874,382298.87,348880.21,25000
VIC0007,trade_supplier,construction,3043,-37.68202,144.897285,912532.6,1971288.26,36521.28
VIC0008,facility_management_office,property_services,3192,-37.96718,145.037525,881796.37,,72930.68
VIC0009,dairy_processor,food_and_beverage,3053,-37.807085,144.967074,658157.73,,35053.29
VIC0010,plant_hire_yard,construction,3840,-38.237226,146.385209,1906262.27,3957793.93,128832.04
VIC0011,real_estate_agency,professional_services,3006,-37.823406,144.971157,572098.65,690568.31,27969.7
VIC0012,strata_management_office,property_services,3020,-37.772905,144.820959,613849.22,223313.61,48203.65
VIC0013,telecommunications_exchange,essential_services,3065,-37.796681,144.977579,2769929.94,4353033.51,475807.99
VIC0014,dental_practice,healthcare,3121,-37.813417,145.009845,8532250.65,16445912,1486435.33
VIC0015,real_estate_agency,professional_services,3844,-38.173132,146.53668,683899.16,,98113.83
VIC0016,strata_management_office,property_services,3182,-37.860119,144.9753,181618.93,321459.94,35474.57
VIC0017,pub,hospitality,3058,-37.737864,144.974417,275625.31,541470.89,31364.75
VIC0018,equipment_dealer,agriculture,3672,-36.570425,145.989995,4629337.66,1520949.77,376959.06
VIC0019,aged_care_facility,healthcare,3134,-37.803539,145.223062,8850837.2,19287418.3,1814339.31
VIC0020,dental_practice,healthcare,3909,-37.894886,147.999709,1350147.16,989146.77,236354.83
VIC0021,taxi_operations_base,transport,3672,-36.553842,145.977448,17623651.4,9538434.19,1561668.62
VIC0022,tyre_service,automotive,3072,-37.736754,145.021918,496178.13,481245.56,72219.71
VIC0023,indoor_sports_centre,recreation,3030,-37.921191,144.747226,1361074.97,465048.92,69969.13
VIC0024,last_mile_depot,logistics,3058,-37.743993,144.964597,2761105.24,1297751.92,230992.16
VIC0025,materials_yard,construction,3121,-37.809741,145.007569,1308054.22,2660112.47,74768.35
VIC0026,strata_management_office,property_services,3000,-37.818273,144.959892,150000,296069.48,25000
VIC0027,trade_wholesaler,wholesale_trade,3066,-37.797128,144.983978,1523143.84,585740.11,281240.8
VIC0028,managed_services_office,technology,3465,-37.047682,143.737448,586278.27,936288.46,73839.75
VIC0029,training_centre,education,3840,-38.241834,146.405365,2433090.98,2017587.97,222952.2
VIC0030,warehouse,logistics,3030,-37.893624,144.665795,1714467.4,1608308.99,350898.31
VIC0031,contractor_office,construction,3550,-36.764077,144.291583,1319051.23,855142.34,265009.32
VIC0032,trade_wholesaler,wholesale_trade,3028,-37.874627,144.766004,1452870,1593794.54,218155.25
VIC0033,cafe,hospitality,3170,-37.932202,145.180213,480151.9,794625.76,83353.22
VIC0034,managed_services_office,technology,3722,-37.041158,146.073252,1385764.28,1755850.16,171758.97
VIC0035,hardware_store,retail,3550,-36.7514,144.292466,252769.68,192747.17,25000
VIC0036,office,professional_services,3008,-37.820365,144.95485,1287333.34,2554529.39,249561.65
VIC0037,strata_management_office,property_services,3018,-37.877049,144.820485,271355.65,400572.17,25000
VIC0038,pharmacy_retail,retail,3672,-36.545727,145.963142,978528.72,1814564.04,187948.08
VIC0039,childcare_centre,education,3189,-37.925553,145.043576,844156.43,357233.5,56903.82
VIC0040,mechanic_workshop,automotive,3672,-36.560622,145.959629,598740.33,351458.56,66504.73
VIC0041,last_mile_depot,logistics,3168,-37.923042,145.115336,1820871.8,2419233.66,313859.26
VIC0042,building_services_office,construction,3350,-37.576335,143.878557,1640019.2,2905785.12,206886.57
VIC0043,allied_health_centre,healthcare,3199,-38.132653,145.091889,1843222.58,3668464.93,277538.47
VIC0044,training_centre,education,3072,-37.750457,144.999091,415346.13,,87205.15
VIC0045,last_mile_depot,logistics,3168,-37.919723,145.132447,593593.26,776811.04,40444.56
VIC0046,materials_yard,construction,3072,-37.74505,145.02561,627803.36,1304134.67,95545.85
VIC0047,motel,tourism,3850,-38.07964,147.072053,1042483.51,1807962.2,163996.1
